OEM_GROUP,BRAND,PROPULSION,2020YTD
VW Group,Audi,BEV,51618.0
VW Group,Audi,MHEV,475106.0
VW Group,Audi,PHEV,56749.0
VW Group,Bentley,MHEV,12.0
VW Group,Bentley,PHEV,238.0
VW Group,MAN,BEV,476.0
VW Group,Porsche,BEV,19672.0
VW Group,Porsche,PHEV,24644.0
VW Group,Seat,BEV,7122.0
VW Group,Seat,MHEV,7336.0
VW Group,Seat,PHEV,7389.0
VW Group,Skoda,BEV,14157.0
VW Group,Skoda,MHEV,978.0
VW Group,Skoda,PHEV,19449.0
VW Group,Sol,BEV,341.0
VW Group,VW,BEV,136736.0
VW Group,VW,MHEV,23162.0
VW Group,VW,PHEV,85743.0
